season,hour,net_realization,profile_realization,kappa_c
summer,2,1,0,1.280625
summer,1,1,0,1.280625
summer,3,1,0,1.364375
summer,3,0,0,1.0325000000000002
summer,2,0,0,1.1106250000000002
summer,0,0,0,1.6118750000000002
summer,7,0,0,0.1525
summer,7,1,0,0.190625
summer,1,0,0,1.5143750000000002
summer,4,0,0,1.66625
summer,0,1,0,1.821875
summer,5,0,0,0.92125
summer,6,0,0,0.8562500000000002
summer,4,1,0,1.799375
summer,6,1,0,1.285625
summer,5,1,0,1.11
summer,8,0,0,1.6425
summer,8,1,0,1.624375
summer,9,1,0,2.560625
summer,9,0,0,3.200625
summer,10,1,0,5.120625
summer,10,0,0,5.120625
summer,11,0,0,5.120625
summer,11,1,0,5.120625
summer,13,1,0,5.120625
summer,12,1,0,5.790625
summer,15,0,0,4.000624999999999
summer,13,0,0,7.040625
summer,17,0,0,0.686875
summer,12,0,0,5.8825
summer,14,0,0,5.320625
summer,17,1,0,1.0825
summer,16,1,0,2.74125
summer,18,1,0,0.6731249999999999
summer,15,1,0,5.120625
summer,18,0,0,0.6693749999999999
summer,16,0,0,3.3050000000000006
summer,14,1,0,5.991875
summer,19,1,0,2.1825
summer,20,0,0,2.720625
summer,19,0,0,2.17875
summer,23,0,0,1.9925
summer,22,0,0,2.7324999999999995
summer,20,1,0,3.4806250000000003
summer,21,1,0,2.9075
winter,1,0,0,1.920625
summer,22,1,0,3.2350000000000003
summer,21,0,0,3.229375000000001
summer,23,1,0,1.7325000000000004
winter,0,0,0,2.1812500000000004
winter,0,1,0,3.210625
winter,3,1,0,1.351875
winter,2,1,0,1.688125
winter,3,0,0,2.560625
winter,4,1,0,1.3431249999999997
winter,1,1,0,3.200625
winter,2,0,0,2.880625
winter,5,1,0,1.11125
winter,5,0,0,1.7106250000000005
winter,4,0,0,2.6912499999999997
winter,6,0,0,1.685625
winter,10,1,0,0.2331249999999999
winter,6,1,0,2.560625
winter,11,0,0,0.960625
winter,11,1,0,0.4649999999999999
winter,8,0,0,2.720625
winter,9,0,0,2.033125
winter,12,1,0,0.3137500000000001
winter,7,0,0,2.06125
winter,10,0,0,1.4074999999999998
winter,8,1,0,2.800625
winter,14,0,0,0.246875
winter,7,1,0,2.6106249999999998
winter,15,0,0,0.5693750000000001
winter,13,1,0,0.5987500000000001
winter,14,1,0,0.5850000000000001
winter,12,0,0,0.93875
winter,15,1,0,0.8062500000000001
winter,9,1,0,3.233750000000001
winter,13,0,0,1.583125
winter,16,1,0,3.240625
winter,17,0,0,5.120625
winter,16,0,0,3.3375000000000004
winter,17,1,0,5.120625
winter,18,1,0,5.120625
winter,19,1,0,
winter,19,0,0,6.240625
winter,18,0,0,5.760624999999999
winter,20,1,0,5.286249999999999
winter,21,0,0,5.120625
winter,20,0,0,6.730625
winter,21,1,0,5.280624999999999
winter,23,0,0,3.3687500000000004
winter,22,1,0,3.078125
