K,q,ng,nc,np,net_seed,role_seed,kappa_c
4,0.0,5,5,40,1443964133,4254259711,0.3429687500000024
4,0.0,5,5,40,1687056278,966520383,0.47265625000000117
4,0.0,5,5,40,1443964133,2362913078,0.4367187500000011
4,0.0,5,5,40,1687056278,2400518284,0.4757812500000012
4,0.0,5,5,40,2812856518,561647525,0.2992187500000024
4,0.0,5,5,40,1687056278,692054669,0.49453125000000114
4,0.0,5,5,40,853869265,3062715394,0.3820312500000022
4,0.0,5,5,40,1687056278,1283107312,0.43359375000000117
4,0.0,5,5,40,1687056278,1337388122,0.4992187500000012
4,0.0,5,5,40,853869265,2540861061,0.36953125000000236
4,0.0,5,5,40,853869265,3128061038,0.4023437500000019
4,0.0,5,5,40,1443964133,1891093738,0.45703125000000117
4,0.0,5,5,40,1443964133,1796018297,0.43359375000000117
4,0.0,5,5,40,2812856518,1404090268,0.4460937500000011
4,0.0,5,5,40,1443964133,1885393509,0.4601562500000011
4,0.0,5,5,40,853869265,1170670266,0.4289062500000012
4,0.0,5,5,40,2812856518,4272167069,0.49453125000000125
4,0.0,5,5,40,2812856518,2953467931,0.5289062500000011
4,0.0,5,5,40,2812856518,3584247283,0.5367187500000011
4,0.0,5,5,40,3176917613,2176422351,0.3257812500000024
4,0.0,5,5,40,3176917613,3973592830,0.45703125000000117
4,0.0,5,5,40,277600886,3061220609,0.4851562500000011
4,0.0,5,5,40,277600886,1701464633,0.4242187500000013
4,0.0,5,5,40,3020941636,3394561085,0.26015625000000214
4,0.0,5,5,40,4275745808,1715627277,0.42265625000000145
4,0.0,5,5,40,3176917613,2292817047,0.4835937500000011
4,0.0,5,5,40,3176917613,2991337971,0.49453125000000114
4,0.0,5,5,40,3020941636,2081466402,0.41171875000000163
4,0.0,5,5,40,277600886,2805727860,0.5117187500000011
4,0.0,5,5,40,853869265,1764601771,0.5257812500000011
4,0.0,5,5,40,3020941636,823305452,0.40390625000000185
4,0.0,5,5,40,4275745808,1605826116,0.4617187500000011
4,0.0,5,5,40,3020941636,1937716048,0.48671875000000114
4,0.0,5,5,40,3020941636,1925877589,0.4773437500000011
4,0.0,5,5,40,277600886,2471382844,0.5039062500000012
4,0.0,5,5,40,277600886,2909964597,0.5289062500000011
4,0.0,5,5,40,4275745808,3540753129,0.4851562500000011
4,0.0,5,5,40,3176917613,4217964845,0.4914062500000082
4,0.0,5,5,40,4275745808,3000037429,0.41640625000000137
4,0.0,5,5,40,2609023019,3982064561,0.4445312500000012
4,0.0,5,5,40,4275745808,3942751054,0.4851562500000011
4,0.0,5,5,40,2609023019,1562905192,0.4382812500000011
4,0.0,5,5,40,3131463187,2229190289,0.40078125000000187
4,0.0,5,5,40,2609023019,1708880133,0.4882812500000013
4,0.0,5,5,40,2609023019,4176231878,0.4742187500000012
4,0.0,5,5,40,3131463187,957132248,0.4210937500000015
4,0.0,5,5,40,277418943,334929528,0.41171875000000163
4,0.0,5,5,40,2609023019,2304318175,0.5507812500000012
4,0.0,5,5,40,3131463187,425841091,0.49609375000000117
4,0.0,5,5,40,3131463187,653153642,0.4210937500000015
4,0.0,5,5,40,277418943,2059917691,0.37421875000000243
4,0.0,5,5,40,277418943,519885885,0.48046875000000117
4,0.0,5,5,40,277418943,3469605312,0.49609375000000117
4,0.0,5,5,40,3131463187,363513950,0.5023437500000012
4,0.0,5,5,40,2395437204,3735504623,0.48671875000000114
4,0.0,5,5,40,277418943,675184185,0.5070312500000012
4,0.0,5,5,40,2395437204,3646228574,0.4742187500000012
4,0.0,5,5,40,2395437204,399609513,0.4132812500000016
4,0.0,5,5,40,2395437204,2990963553,0.3773437500000023
4,0.0,5,5,40,2395437204,746750575,0.4742187500000012
4,0.0,5,5,40,1084788854,3829822250,0.41953125000000147
4,0.0,5,5,40,1084788854,1085832742,0.4210937500000015
